model,split,anomali_turu,gercek_anomali,yakalanan_anomali,recall
Local Outlier Factor,dogrulama,yasakli_kategori,78,65,0.8333
Autoencoder,dogrulama,yasakli_kategori,78,74,0.9487
Kesin Kural Katmani,dogrulama,yasakli_kategori,78,64,0.8205
Isolation Forest,test,ara_toplam,79,79,1.0
Robust Covariance,test,ara_toplam,79,79,1.0
One-Class SVM,test,ara_toplam,79,79,1.0
Local Outlier Factor,test,ara_toplam,79,79,1.0
Autoencoder,test,ara_toplam,79,79,1.0
Kesin Kural Katmani,test,ara_toplam,79,79,1.0
Isolation Forest,test,dusuk_ondalik_kaymasi,78,25,0.3205
Robust Covariance,test,dusuk_ondalik_kaymasi,78,42,0.5385
One-Class SVM,test,dusuk_ondalik_kaymasi,78,37,0.4744
Local Outlier Factor,test,dusuk_ondalik_kaymasi,78,5,0.0641
Autoencoder,test,dusuk_ondalik_kaymasi,78,46,0.5897
Kesin Kural Katmani,test,dusuk_ondalik_kaymasi,78,5,0.0641
Isolation Forest,test,fatura_no_cakismasi,112,112,1.0
Robust Covariance,test,fatura_no_cakismasi,112,112,1.0
One-Class SVM,test,fatura_no_cakismasi,112,112,1.0
Local Outlier Factor,test,fatura_no_cakismasi,112,112,1.0
Autoencoder,test,fatura_no_cakismasi,112,112,1.0
Kesin Kural Katmani,test,fatura_no_cakismasi,112,112,1.0
Isolation Forest,test,footer_kismi,162,162,1.0
Robust Covariance,test,footer_kismi,162,162,1.0
One-Class SVM,test,footer_kismi,162,162,1.0
Local Outlier Factor,test,footer_kismi,162,162,1.0
Autoencoder,test,footer_kismi,162,162,1.0
Kesin Kural Katmani,test,footer_kismi,162,162,1.0
Isolation Forest,test,gecersiz_kimlik_no,77,40,0.5195
Robust Covariance,test,gecersiz_kimlik_no,77,8,0.1039
One-Class SVM,test,gecersiz_kimlik_no,77,40,0.5195
Local Outlier Factor,test,gecersiz_kimlik_no,77,7,0.0909
Autoencoder,test,gecersiz_kimlik_no,77,12,0.1558
Kesin Kural Katmani,test,gecersiz_kimlik_no,77,6,0.0779
Isolation Forest,test,gelecek_tarihli,79,79,1.0
Robust Covariance,test,gelecek_tarihli,79,79,1.0
One-Class SVM,test,gelecek_tarihli,79,79,1.0
Local Outlier Factor,test,gelecek_tarihli,79,79,1.0
Autoencoder,test,gelecek_tarihli,79,79,1.0
Kesin Kural Katmani,test,gelecek_tarihli,79,79,1.0
Isolation Forest,test,genel_toplam,78,78,1.0
Robust Covariance,test,genel_toplam,78,78,1.0
One-Class SVM,test,genel_toplam,78,78,1.0
Local Outlier Factor,test,genel_toplam,78,78,1.0
Autoencoder,test,genel_toplam,78,78,1.0
Kesin Kural Katmani,test,genel_toplam,78,78,1.0
Isolation Forest,test,is_kolu_kategori_uyumsuzlugu,78,78,1.0
Robust Covariance,test,is_kolu_kategori_uyumsuzlugu,78,65,0.8333
One-Class SVM,test,is_kolu_kategori_uyumsuzlugu,78,78,1.0
Local Outlier Factor,test,is_kolu_kategori_uyumsuzlugu,78,48,0.6154
Autoencoder,test,is_kolu_kategori_uyumsuzlugu,78,74,0.9487
Kesin Kural Katmani,test,is_kolu_kategori_uyumsuzlugu,78,48,0.6154
Isolation Forest,test,kdv_tutari,78,78,1.0
Robust Covariance,test,kdv_tutari,78,78,1.0
One-Class SVM,test,kdv_tutari,78,78,1.0
Local Outlier Factor,test,kdv_tutari,78,78,1.0
Autoencoder,test,kdv_tutari,78,78,1.0
Kesin Kural Katmani,test,kdv_tutari,78,78,1.0
Isolation Forest,test,limit_asimi,78,51,0.6538
Robust Covariance,test,limit_asimi,78,64,0.8205
One-Class SVM,test,limit_asimi,78,64,0.8205
Local Outlier Factor,test,limit_asimi,78,3,0.0385
Autoencoder,test,limit_asimi,78,45,0.5769
